seed,keep_signals,n_signals,test_acc,test_bal_acc,test_f1,test_roc_auc,test_avg_precision,final_train_acc,final_val_acc
5,"('ECG_mV', 'Thermopod')",2,0.4603174603174603,0.4652777777777778,0.4069767441860465,0.46165716999050327,0.3492119779189821,0.7367521367521368,0.5098039215686274
1,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.5714285714285714,0.5897435897435896,0.5423728813559322,0.662037037037037,0.5226657673845465,0.7367521367521368,0.5228758169934641
2,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.3862433862433862,0.5042735042735043,0.5538461538461539,0.721272554605888,0.5811566898808456,0.6854700854700855,0.6339869281045751
3,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.6031746031746031,0.6180555555555556,0.5664739884393064,0.6920702754036088,0.50735129325612,0.7897435897435897,0.6666666666666666
4,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.5291005291005291,0.5181623931623931,0.43312101910828027,0.49228395061728397,0.4333626018013856,0.7350427350427351,0.5490196078431373
5,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.37566137566137564,0.49038461538461536,0.5426356589147286,0.5882003798670465,0.49197895833794253,0.7076923076923077,0.5816993464052288
1,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.6613756613756614,0.6543803418803419,0.5844155844155844,0.7649572649572649,0.6693057399256395,0.7743589743589744,0.6470588235294118
2,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.4708994708994709,0.5726495726495726,0.5901639344262295,0.8168328584995252,0.7255655080575643,0.6854700854700855,0.6143790849673203
3,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.582010582010582,0.592948717948718,0.5380116959064327,0.6966999050332383,0.5552319288703825,0.8188034188034188,0.7189542483660131
4,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.8148148148148148,0.8317307692307692,0.7878787878787878,0.8797483380816714,0.7806038549945968,0.7743589743589744,0.673202614379085
5,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.708994708994709,0.6314102564102564,0.4444444444444444,0.6423314339981007,0.5869326191307511,0.8222222222222222,0.6666666666666666
1,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.5978835978835979,0.5657051282051282,0.4492753623188406,0.700261158594492,0.6308399865751009,0.7213675213675214,0.7450980392156863
2,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.4708994708994709,0.5726495726495726,0.5901639344262295,0.7628205128205128,0.6944584289754312,0.6905982905982906,0.5882352941176471
3,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.6137566137566137,0.6319444444444444,0.5828571428571429,0.7293447293447293,0.6132780658133212,0.8102564102564103,0.6862745098039216
4,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.7724867724867724,0.7948717948717948,0.7485380116959064,0.8653846153846154,0.8015688569741827,0.764102564102564,0.6405228758169934
5,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.5978835978835979,0.6057692307692307,0.5476190476190477,0.6593067426400759,0.5768221839743118,0.747008547008547,0.6470588235294118
