seed,keep_signals,n_signals,test_acc,test_bal_acc,test_f1,test_roc_auc,test_avg_precision,final_train_acc,final_val_acc
4,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.6402116402116402,0.607905982905983,0.5,0.6683285849952516,0.5490917418821244,0.7204861111111112,0.6013071895424836
5,"('ECG_mV', 'Fingerpulse', 'Thermopod')",3,0.6031746031746031,0.6153846153846154,0.5614035087719298,0.773741690408357,0.795776549611888,0.8072916666666666,0.7450980392156863
1,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.7619047619047619,0.7435897435897436,0.6808510638297872,0.7885802469135803,0.6495539421613425,0.8229166666666666,0.8104575163398693
2,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.544973544973545,0.6191239316239316,0.6090909090909091,0.7023979107312441,0.4992753186161286,0.7239583333333334,0.5686274509803921
3,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.6507936507936508,0.6324786324786325,0.547945205479452,0.7014482431149097,0.5693809596543657,0.7829861111111112,0.8366013071895425
4,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.7407407407407407,0.7211538461538461,0.6524822695035462,0.7282763532763533,0.6632005933224054,0.7552083333333334,0.6993464052287581
5,"('ECG_mV', 'Fingerpulse', 'Cannula')",3,0.7513227513227513,0.7270299145299146,0.656934306569343,0.782051282051282,0.7968616436303942,0.8298611111111112,0.8169934640522876
1,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.6243386243386243,0.6404914529914529,0.5895953757225434,0.7342117758784426,0.593122465934548,0.8315972222222222,0.8104575163398693
2,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.5502645502645502,0.594017094017094,0.5685279187817259,0.650403608736942,0.4643430736688722,0.7378472222222222,0.5620915032679739
3,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.6507936507936508,0.6324786324786325,0.547945205479452,0.6972934472934473,0.5453010508865284,0.8125,0.8300653594771242
4,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.7142857142857143,0.6677350427350428,0.5573770491803278,0.7412155745489079,0.6400262798224107,0.7378472222222222,0.6666666666666666
5,"('ECG_mV', 'Fingerpulse', 'Cannula', 'Thermopod')",4,0.7777777777777778,0.7430555555555556,0.671875,0.7707739791073124,0.7912740902256061,0.7934027777777778,0.7450980392156863
